st_id,st_name,district,latitude,longtitude
102,망원역 1번출구 앞,마포구,37.555649,126.910629
103,망원역 2번출구 앞,마포구,37.554951,126.910835
104,합정역 1번출구 앞,마포구,37.550629,126.914986
105,합정역 5번출구 앞,마포구,37.550007,126.914825
106,합정역 7번출구 앞,마포구,37.548645,126.912827
107,신한은행 서교동금융센터점 앞,마포구,37.55751,126.918503
108,서교동 사거리,마포구,37.552746,126.918617
109,제일빌딩 앞,마포구,37.547691,126.919983
111,상수역 2번출구 앞,마포구,37.547871,126.923531
112,극동방송국 앞,마포구,37.549202,126.923203
113,홍대입구역 2번출구 앞,마포구,37.557499,126.923805
114,홍대입구역 8번출구 앞,마포구,37.55706,126.924423
115,마스타 빌딩 앞,서대문구,37.558933,126.927116
116,일진아이윌아파트 옆,서대문구,37.564541,126.927071
117,홍은사거리,서대문구,37.59116,126.94133
118,광흥창역 2번출구 앞,마포구,37.547733,126.931763
119,서강나루 공원,마포구,37.545284,126.931053
120,신수동 사거리,마포구,37.545242,126.934113
121,마포소방서 앞,마포구,37.549767,126.933174
122,신성기사식당 앞,마포구,37.547459,126.938377
123,문화촌 공원,서대문구,37.59433,126.947388
124,서강대 정문 건너편,마포구,37.55114,126.936989
125,서강대 남문 옆,마포구,37.549484,126.93895
126,서강대 후문 옆,마포구,37.550411,126.943848
127,현대벤처빌 앞,마포구,37.55352,126.936951
128,신촌역(2호선) 1번출구 옆,서대문구,37.555496,126.93634
129,신촌역(2호선) 6번출구 옆,마포구,37.555054,126.937569
130,신촌역(2호선) 7번출구 앞,마포구,37.554859,126.936157
131,증산2교,서대문구,37.584171,126.911102
133,해담는다리,서대문구,37.582031,126.908997
134,연세로 명물길,서대문구,37.557892,126.93808
135,명물길 원형무대 앞,서대문구,37.559101,126.939178
137,NH농협 신촌지점 앞,서대문구,37.556812,126.943184
138,신촌동 제1공영주차장 앞,서대문구,37.559177,126.934525
139,연세대 정문 건너편,서대문구,37.559795,126.934479
140,이화여대 후문,서대문구,37.560009,126.940735
141,연대 대운동장 옆,서대문구,37.562382,126.932648
142,아현역 4번출구 앞,마포구,37.557201,126.955666
143,공덕역 2번출구,마포구,37.544579,126.950218
144,공덕역 8번출구,마포구,37.543579,126.951324
145,공덕역 5번출구,마포구,37.54425,126.951637
146,마포역 2번출구 뒤,마포구,37.539936,126.945824
147,마포역 4번출구 뒤,마포구,37.539272,126.945915
148,용강동 주민센터 앞,마포구,37.542347,126.943024
150,서강대역 2번출구 앞,마포구,37.552956,126.934341
153,성산2교 사거리,마포구,37.564697,126.912613
154,마포구청역,마포구,37.560909,126.905495
155,가좌역1 번출구 뒤,마포구,37.56855,126.914513
156,서울서부지방법원 앞,마포구,37.549904,126.955147
157,애오개역 4번출구 앞,마포구,37.553001,126.956688
159,이대역 4번 출구,서대문구,37.556953,126.946342
160,북아현동 가구거리,서대문구,37.557549,126.959381
161,무악재역1번 출구,서대문구,37.582245,126.950645
162,봉원고가차도 밑,서대문구,37.565269,126.946243
163,명지전문대학교 정문 앞,서대문구,37.583698,126.924965
164,북가좌1동 주민센터,서대문구,37.574478,126.910049
165,중앙근린공원,서대문구,37.575138,126.91394
166,가재울 초등학교,서대문구,37.573277,126.919678
167,연가초등학교 옆,서대문구,37.57946,126.91713
169,북가좌 삼거리,서대문구,37.573002,126.907799
170,가재울 뉴타운 주유소 옆,서대문구,37.573112,126.922447
171,임광빌딩 앞,서대문구,37.564724,126.967278
173,서대문역 8번출구 앞,서대문구,37.564777,126.966148
175,홍연2교옆,서대문구,37.578072,126.930817
176,명지대학교 도서관,서대문구,37.581097,126.924026
