bi_st_id,sub_st_id,sub_name,sub_line,sub_long,sub_lat
102,2622,망원,6호선,126.910052,37.556094
103,2622,망원,6호선,126.910052,37.556094
104,0,,,,
105,238,합정,2호선,126.913808,37.549457
106,2623,합정,6호선,126.913366,37.549209
107,0,,,,
108,0,,,,
109,0,,,,
111,2624,상수,6호선,126.922852,37.547716
112,0,,,,
113,239,홍대입구,2호선,126.923708,37.55679
114,239,홍대입구,2호선,126.923708,37.55679
115,1293,홍대입구,경의중앙선,126.926683,37.557641
116,0,,,,
117,0,,,,
118,2625,광흥창,6호선,126.931993,37.547456
119,0,,,,
120,0,,,,
121,0,,,,
122,0,,,,
123,0,,,,
124,1263,서강대,경의중앙선,126.935711,37.551881
125,0,,,,
126,0,,,,
127,0,,,,
128,240,신촌,2호선,126.936926,37.555131
129,240,신촌,2호선,126.936926,37.555131
130,240,신촌,2호선,126.936926,37.555131
131,2618,증산,6호선,126.909645,37.583876
133,0,,,,
134,0,,,,
135,0,,,,
137,0,,,,
138,0,,,,
139,0,,,,
140,0,,,,
141,0,,,,
142,242,아현,2호선,126.956141,37.557345
143,2530,공덕,5호선,126.951372,37.544431
144,4202,공덕,공항철도1호선,126.952024,37.54253
145,2627,공덕,6호선,126.951678,37.543555
146,2529,마포,5호선,126.945932,37.539574
147,2529,마포,5호선,126.945932,37.539574
148,0,,,,
150,0,,,,
153,0,,,,
154,0,,,,
155,1265,가좌,경의중앙선,126.915487,37.568491
156,0,,,,
157,2531,애오개,5호선,126.95682,37.553736
159,241,이대,2호선,126.946013,37.556733
160,0,,,,
161,315,무악재,3호선,126.950291,37.582299
162,0,,,,
163,0,,,,
164,0,,,,
165,0,,,,
166,0,,,,
167,0,,,,
169,0,,,,
170,0,,,,
171,2533,서대문,5호선,126.966641,37.565773
173,2533,서대문,5호선,126.966641,37.565773
175,0,,,,
176,0,,,,
177,0,,,,
178,0,,,,
179,1265,가좌,경의중앙선,126.915487,37.568491
180,2532,충정로,5호선,126.9629,37.560236
181,0,,,,
