,sub_id,sub_name,line,longtitude,latitude,bike_id
0,9996,미사역,5호선,127.193877,37.560927,[]
1,9995,강일역,5호선,127.17593,37.55749,"[1016, 1057, 3676, 3689, 3690, 3694]"
2,4929,김포공항역,김포골드라인,126.801868,37.56236,[5072]
3,4928,고촌역,김포골드라인,126.770345,37.601243,[]
4,4927,풍무역,김포골드라인,126.732387,37.612488,[]
5,4926,사우(김포시청)역,김포골드라인,126.719731,37.620249,[]
6,4925,걸포북변역,김포골드라인,126.705975,37.63165,[]
7,4924,운양역,김포골드라인,126.68393,37.653867,[]
8,4923,장기역,김포골드라인,126.669017,37.643986,[]
9,4922,마산역,김포골드라인,126.644344,37.640732,[]
10,4921,구래역,김포골드라인,126.628633,37.645384,[]
11,4920,양촌역,김포골드라인,126.614309,37.642379,[]
12,4815,원시역,서해선,126.786691,37.302371,[]
13,4814,원곡역,서해선,126.796261,37.31321,[]
14,4813,초지역,서해선,126.808147,37.319619,[]
15,4812,선부역,서해선,126.809904,37.334353,[]
16,4811,달미역,서해선,126.809409,37.348847,[]
17,4810,시흥능곡역,서해선,126.808573,37.369864,[]
18,4809,시흥시청역,서해선,126.805625,37.382223,[]
19,4808,신현역,서해선,126.788017,37.409008,[]
20,4807,신천역,서해선,126.786788,37.439066,[]
21,4806,시흥대야역,서해선,126.793041,37.450145,[]
22,4805,소새울역,서해선,126.797252,37.468467,[]
23,4804,소사역,서해선,126.795023,37.483279,[]
24,4713,신설동역,우이신설선,127.023242,37.576095,"[362, 363, 456, 605, 613, 671, 672, 1351]"
25,4712,보문역,우이신설선,127.019381,37.585286,"[1338, 1352, 1355, 1362, 1363]"
26,4711,성신여대입구(돈암)역,우이신설선,127.016516,37.592467,"[1303, 1305, 1336, 1337, 1355, 1368, 1384, 1385, 1386, 1388]"
27,4710,정릉역,우이신설선,127.013396,37.603133,"[1314, 1344, 1358, 1360]"
28,4709,북한산보국문역,우이신설선,127.008251,37.612072,[1357]
29,4708,솔샘역,우이신설선,127.013626,37.620238,[1545]
30,4707,삼양사거리역,우이신설선,127.020473,37.621337,"[1504, 1515, 1542]"
31,4706,삼양역,우이신설선,127.018106,37.626914,"[1504, 1541, 1543]"
32,4705,화계역,우이신설선,127.017511,37.634133,[1543]
33,4704,가오리역,우이신설선,127.016789,37.641537,"[1506, 1516, 1518, 1519, 1540]"
34,4703,4.19민주묘지역,우이신설선,127.013684,37.649502,"[1519, 1539, 1564, 1568, 1715]"
35,4702,솔밭공원역,우이신설선,127.013273,37.65603,"[1522, 1538, 1715, 1757, 1758]"
36,4701,북한산우이역,우이신설선,127.012706,37.662909,"[1537, 1572]"
37,4615,탑석역,의정부선,127.088704,37.733579,[]
38,4614,송산역,의정부선,127.087159,37.737279,[]
39,4613,어룡역,의정부선,127.085035,37.742802,[]
40,4612,곤제역,의정부선,127.083715,37.750471,[]
41,4611,효자역,의정부선,127.076902,37.754025,[]
42,4610,경기도청북부청사역,의정부선,127.071495,37.75059,[]
43,4609,새말역,의정부선,127.06362,37.748885,[]
44,4608,동오역,의정부선,127.056947,37.745271,[]
45,4607,의정부중앙역,의정부선,127.049565,37.743676,[]
46,4606,흥선역,의정부선,127.037023,37.743302,[]
47,4605,의정부시청역,의정부선,127.034781,37.739256,[]
48,4604,경전철의정부역,의정부선,127.043257,37.737202,[]
49,4603,범골역,의정부선,127.04353,37.728755,[]
50,4602,회룡역,의정부선,127.047073,37.725006,[]
51,4601,발곡역,의정부선,127.052803,37.727048,[]
52,4517,전대.에버랜드역,에버라인선,127.219561,37.285342,[]
53,4515,둔전역,에버라인선,127.21364,37.267051,[]
54,4514,보평역,에버라인선,127.218457,37.258965,[]
55,4513,고진역,에버라인선,127.214251,37.24484,[]
56,4512,운동장.송담대역,에버라인선,127.209198,37.237845,[]
57,4511,김량장역,에버라인선,127.198781,37.237247,[]
58,4510,명지대역,에버라인선,127.190294,37.237964,[]
59,4509,시청.용인대역,에버라인선,127.178406,37.239151,[]
