,bike_id,bus,order,id,name,경도,위도
839,"[328,329,454,3432]",N37,31,1001,종로2가사거리,126.98775,37.569765
887,"[329,472,3013,3432,4785]",N37,80,1004,종로2가.삼일교,126.987613,37.568579
513,"[171,173,394]",N26,96,1006,서대문역사거리,126.966893,37.566137
1816,"[171,173,394]",N75,136,1006,서대문역사거리,126.966893,37.566137
455,"[300,307,4715]",N26,38,1007,서울역사박물관.경희궁앞,126.97038,37.569135
883,"[300,307,4715]",N37,76,1007,서울역사박물관.경희궁앞,126.97038,37.569135
1719,"[300,307,4715]",N75,38,1007,서울역사박물관.경희궁앞,126.97038,37.569135
512,"[300,307,4715]",N26,95,1008,서울역사박물관.경희궁앞,126.970609,37.569412
1815,"[300,307,4715]",N75,135,1008,서울역사박물관.경희궁앞,126.970609,37.569412
456,"[303,306,308,309]",N26,39,1009,광화문,126.975251,37.570135
884,"[303,306,308,309]",N37,77,1009,광화문,126.975251,37.570135
511,"[306,309,310,458]",N26,94,1010,광화문,126.978085,37.570217
842,"[306,309,310,458]",N37,34,1010,광화문,126.978085,37.570217
457,"[316,368,385]",N26,40,1011,종로1가,126.980911,37.570118
885,"[316,368,385]",N37,78,1011,종로1가,126.980911,37.570118
510,"[316,368,385,3408]",N26,93,1012,종로1가,126.981391,37.570229
841,"[316,368,385,3408]",N37,33,1012,종로1가,126.981391,37.570229
255,"[454,3408]",N15,111,1013,종로2가,126.985543,37.570139
458,"[454,3408]",N26,41,1013,종로2가,126.985543,37.570139
886,"[454,3408]",N37,79,1013,종로2가,126.985543,37.570139
1299,"[454,3408]",N62,43,1013,종로2가,126.985543,37.570139
182,"[328,454,3432]",N15,37,1014,종로2가,126.986247,37.570257
509,"[328,454,3432]",N26,92,1014,종로2가,126.986247,37.570257
840,"[328,454,3432]",N37,32,1014,종로2가,126.986247,37.570257
1375,"[328,454,3432]",N62,120,1014,종로2가,126.986247,37.570257
256,"[328,334,335,3432]",N15,112,1015,종로3가.탑골공원,126.989565,37.570245
459,"[328,334,335,3432]",N26,42,1015,종로3가.탑골공원,126.989565,37.570245
1300,"[328,334,335,3432]",N62,44,1015,종로3가.탑골공원,126.989565,37.570245
181,"[328,334,335,3432]",N15,36,1016,종로3가.탑골공원,126.989988,37.570361
508,"[328,334,335,3432]",N26,91,1016,종로3가.탑골공원,126.989988,37.570361
1374,"[328,334,335,3432]",N62,119,1016,종로3가.탑골공원,126.989988,37.570361
257,"[397,3411,3412]",N15,113,1017,종로4가.종묘,126.994722,37.570507
460,"[397,3411,3412]",N26,43,1017,종로4가.종묘,126.994722,37.570507
1301,"[397,3411,3412]",N62,45,1017,종로4가.종묘,126.994722,37.570507
180,"[338,397,3411,3412]",N15,35,1018,종로4가.종묘,126.995284,37.570627
507,"[338,397,3411,3412]",N26,90,1018,종로4가.종묘,126.995284,37.570627
1373,"[338,397,3411,3412]",N62,118,1018,종로4가.종묘,126.995284,37.570627
258,"[338,339,397,453]",N15,114,1019,종로5가.광장시장,126.99885,37.570757
461,"[338,339,397,453]",N26,44,1019,종로5가.광장시장,126.99885,37.570757
1302,"[338,339,397,453]",N62,46,1019,종로5가.광장시장,126.99885,37.570757
179,"[338,339,453]",N15,34,1020,종로5가.광장시장,126.999335,37.570881
506,"[338,339,453]",N26,89,1020,종로5가.광장시장,126.999335,37.570881
1372,"[338,339,453]",N62,117,1020,종로5가.광장시장,126.999335,37.570881
259,"[452,3404,3414]",N15,115,1021,종로6가.동대문종합시장,127.003464,37.570962
462,"[452,3404,3414]",N26,45,1021,종로6가.동대문종합시장,127.003464,37.570962
1303,"[452,3404,3414]",N62,47,1021,종로6가.동대문종합시장,127.003464,37.570962
178,"[452,455,457]",N15,33,1022,종로6가.동대문종합시장,127.005714,37.571127
505,"[452,455,457]",N26,88,1022,종로6가.동대문종합시장,127.005714,37.571127
1371,"[452,455,457]",N62,116,1022,종로6가.동대문종합시장,127.005714,37.571127
111,[3401],N13,111,1023,동대문역.흥인지문,127.013451,37.572302
260,[3401],N15,116,1023,동대문역.흥인지문,127.013451,37.572302
463,[3401],N26,46,1023,동대문역.흥인지문,127.013451,37.572302
606,[3401],N30,59,1023,동대문역.흥인지문,127.013451,37.572302
965,[3401],N51,48,1023,동대문역.흥인지문,127.013451,37.572302
38,[3415],N13,38,1037,동대문(흥인지문),127.012046,37.571953
177,[3415],N15,32,1037,동대문(흥인지문),127.012046,37.571953
504,[3415],N26,87,1037,동대문(흥인지문),127.012046,37.571953
583,[3415],N30,35,1037,동대문(흥인지문),127.012046,37.571953
1025,[3415],N51,108,1037,동대문(흥인지문),127.012046,37.571953
112,[456],N13,112,1041,동묘앞,127.018451,37.573726
261,[456],N15,117,1041,동묘앞,127.018451,37.573726
464,[456],N26,47,1041,동묘앞,127.018451,37.573726
966,[456],N51,49,1041,동묘앞,127.018451,37.573726
1626,[456],N72,48,1041,동묘앞,127.018451,37.573726
37,[456],N13,37,1044,동묘앞,127.019672,37.574243
176,[456],N15,31,1044,동묘앞,127.019672,37.574243
503,[456],N26,86,1044,동묘앞,127.019672,37.574243
582,[456],N30,34,1044,동묘앞,127.019672,37.574243
1024,[456],N51,107,1044,동묘앞,127.019672,37.574243
1633,[456],N72,55,1044,동묘앞,127.019672,37.574243
958,[369],N51,41,1117,경복궁,126.978747,37.575577
957,"[305,306,304]",N51,40,1118,KT광화문지사,126.977332,37.572226
1720,"[306,309,310,458]",N75,39,1120,광화문,126.976384,37.569845
